ticker,name,sector,industry,pilier_bilan,pilier_rendement_capital,pilier_cash,pilier_marges,pilier_discipline,note_qualite_20,note_qualite_n_piliers,note_qualite_low_confidence,pilier_valorisation,pilier_momentum,note_perspective_20,note_perspective_n_piliers,note_perspective_low_confidence
SEK.AX,SEEK Limited,Communication Services,Internet Content & Information,9.1,1.9,,1.0,,4.0,3,False,,1.4,1.4,1,True
0002.HK,CLP Holdings Limited,Utilities,Utilities - Regulated Electric,17.4,11.9,,12.1,,13.8,3,False,10.9,17.4,14.2,2,False
0003.HK,The Hong Kong and China Gas Company Limited,Utilities,Utilities - Regulated Gas,15.0,12.4,,10.3,,12.6,3,False,5.4,12.8,9.1,2,False
0005.HK,HSBC Holdings plc,Financial Services,Banks - Diversified,,10.9,,15.6,,13.2,2,True,10.4,17.3,13.8,2,False
0006.HK,Power Assets Holdings Limited,Utilities,Utilities - Independent Power Producers,19.4,17.7,,20.0,,19.0,3,False,20.0,17.3,18.6,2,False
0012.HK,Henderson Land Development Company Limited,Real Estate,Real Estate - Diversified,16.6,5.3,,11.1,,11.0,3,False,0.5,8.1,4.3,2,False
0016.HK,Sun Hung Kai Properties Limited,Real Estate,Real Estate - Development,19.1,6.9,,11.9,,12.6,3,False,0.0,17.7,8.8,2,False
0066.HK,MTR Corporation Limited,Industrials,Railroads,8.0,9.3,,19.7,,12.3,3,False,19.7,13.5,16.6,2,False
0175.HK,Geely Automobile Holdings Limited,Consumer Cyclical,Auto Manufacturers,17.0,13.8,,8.6,,13.1,3,False,20.0,8.0,14.0,2,False
0241.HK,Alibaba Health Information Technology Limited,Healthcare,Pharmaceutical Retailers,19.3,13.2,,11.6,,14.7,3,False,2.8,0.5,1.6,2,False
0267.HK,CITIC Limited,Industrials,Conglomerates,2.1,6.7,,9.3,,6.0,3,False,20.0,12.0,16.0,2,False
0288.HK,WH Group Limited,Consumer Defensive,Packaged Foods,12.9,13.5,,10.4,,12.3,3,False,20.0,7.1,13.6,2,False
0291.HK,China Resources Beer (Holdings) Company Limited,Consumer Defensive,Beverages - Brewers,16.2,6.1,,12.2,,11.5,3,False,8.7,1.4,5.0,2,False
0316.HK,Orient Overseas (International) Limited,Industrials,Marine Shipping,17.5,7.8,,15.1,,13.5,3,False,14.5,13.3,13.9,2,False
