ticker,name,sector,market
MSI,Motorola Solutions,Information Technology,S&P 500
MSCI,MSCI Inc.,Financials,S&P 500
NDAQ,"Nasdaq, Inc.",Financials,S&P 500
NTAP,NetApp,Information Technology,S&P 500
NFLX,Netflix,Communication Services,S&P 500
NEM,Newmont,Materials,S&P 500
NWSA,News Corp (Class A),Communication Services,S&P 500
NWS,News Corp (Class B),Communication Services,S&P 500
NEE,NextEra Energy,Utilities,S&P 500
NKE,"Nike, Inc.",Consumer Discretionary,S&P 500
NI,NiSource,Utilities,S&P 500
NDSN,Nordson Corporation,Industrials,S&P 500
NSC,Norfolk Southern,Industrials,S&P 500
NTRS,Northern Trust,Financials,S&P 500
NOC,Northrop Grumman,Industrials,S&P 500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,S&P 500
NRG,NRG Energy,Utilities,S&P 500
NUE,Nucor,Materials,S&P 500
NVDA,Nvidia,Information Technology,S&P 500
NVR,"NVR, Inc.",Consumer Discretionary,S&P 500
NXPI,NXP Semiconductors,Information Technology,S&P 500
ORLY,O’Reilly Automotive,Consumer Discretionary,S&P 500
OXY,Occidental Petroleum,Energy,S&P 500
ODFL,Old Dominion,Industrials,S&P 500
OMC,Omnicom Group,Communication Services,S&P 500
ON,ON Semiconductor,Information Technology,S&P 500
OKE,Oneok,Energy,S&P 500
ORCL,Oracle Corporation,Information Technology,S&P 500
OTIS,Otis Worldwide,Industrials,S&P 500
PCAR,Paccar,Industrials,S&P 500
PKG,Packaging Corporation of America,Materials,S&P 500
PLTR,Palantir Technologies,Information Technology,S&P 500
PANW,Palo Alto Networks,Information Technology,S&P 500
PSKY,Paramount Skydance Corporation,Communication Services,S&P 500
PH,Parker Hannifin,Industrials,S&P 500
PAYX,Paychex,Industrials,S&P 500
PYPL,PayPal,Financials,S&P 500
PNR,Pentair,Industrials,S&P 500
PEP,PepsiCo,Consumer Staples,S&P 500
PFE,Pfizer,Health Care,S&P 500
PCG,PG&E Corporation,Utilities,S&P 500
PM,Philip Morris International,Consumer Staples,S&P 500
PSX,Phillips 66,Energy,S&P 500
PNW,Pinnacle West Capital,Utilities,S&P 500
PNC,PNC Financial Services,Financials,S&P 500
PPG,PPG Industries,Materials,S&P 500
PPL,PPL Corporation,Utilities,S&P 500
PFG,Principal Financial Group,Financials,S&P 500
PG,Procter & Gamble,Consumer Staples,S&P 500
PGR,Progressive Corporation,Financials,S&P 500
PLD,Prologis,Real Estate,S&P 500
PRU,Prudential Financial,Financials,S&P 500
PEG,Public Service Enterprise Group,Utilities,S&P 500
PTC,PTC Inc.,Information Technology,S&P 500
PSA,Public Storage,Real Estate,S&P 500
PHM,PulteGroup,Consumer Discretionary,S&P 500
PWR,Quanta Services,Industrials,S&P 500
QCOM,Qualcomm,Information Technology,S&P 500
DGX,Quest Diagnostics,Health Care,S&P 500
Q,Qnity Electronics,Information Technology,S&P 500
RL,Ralph Lauren Corporation,Consumer Discretionary,S&P 500
RJF,Raymond James Financial,Financials,S&P 500
RTX,RTX Corporation,Industrials,S&P 500
O,Realty Income,Real Estate,S&P 500
REG,Regency Centers,Real Estate,S&P 500
REGN,Regeneron Pharmaceuticals,Health Care,S&P 500
RF,Regions Financial Corporation,Financials,S&P 500
RSG,Republic Services,Industrials,S&P 500
RMD,ResMed,Health Care,S&P 500
RVTY,Revvity,Health Care,S&P 500
HOOD,Robinhood Markets,Financials,S&P 500
ROK,Rockwell Automation,Industrials,S&P 500
ROL,"Rollins, Inc.",Industrials,S&P 500
ROP,Roper Technologies,Information Technology,S&P 500
ROST,Ross Stores,Consumer Discretionary,S&P 500
RCL,Royal Caribbean Group,Consumer Discretionary,S&P 500
SPGI,S&P Global,Financials,S&P 500
CRM,Salesforce,Information Technology,S&P 500
SNDK,Sandisk,Information Technology,S&P 500
SBAC,SBA Communications,Real Estate,S&P 500
SLB,Schlumberger,Energy,S&P 500
STX,Seagate Technology,Information Technology,S&P 500
SRE,Sempra,Utilities,S&P 500
NOW,ServiceNow,Information Technology,S&P 500
SHW,Sherwin-Williams,Materials,S&P 500
SPG,Simon Property Group,Real Estate,S&P 500
